condition,model,task,metric,n_runs,n_pairs,ari_ci_hi,ari_ci_lo,ari_mean,jaccard_ci_hi,jaccard_ci_lo,jaccard_mean,nmi_ci_hi,nmi_ci_lo,nmi_mean,pearson_ci_hi,pearson_ci_lo,pearson_mean
full_schema,gemini-2.5-flash,spatial_domains,spatial_domains,8,28,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,
full_schema,claude-haiku-4-5-20251001,spatial_domains,spatial_domains,10,45,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,
full_schema,gpt-5.4,spatial_domains,spatial_domains,10,45,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,
full_schema,all_models,spatial_domains,spatial_domains,28,378,0.802,0.7553,0.7786,,,,0.79,0.7404,0.7652,,,
bare_schema,gemini-2.5-flash,spatial_domains,spatial_domains,7,21,0.8397,0.6399,0.7398,,,,0.8624,0.6744,0.7667,,,
bare_schema,claude-haiku-4-5-20251001,spatial_domains,spatial_domains,10,45,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,
bare_schema,gpt-5.4,spatial_domains,spatial_domains,10,45,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,
bare_schema,all_models,spatial_domains,spatial_domains,27,351,0.7075,0.6595,0.6831,,,,0.7158,0.6688,0.6919,,,
no_schema,gemini-2.5-flash,spatial_domains,spatial_domains,2,1,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,
no_schema,claude-haiku-4-5-20251001,spatial_domains,spatial_domains,7,21,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,
no_schema,all_models,spatial_domains,spatial_domains,10,45,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,
full_schema,gemini-2.5-flash,svg_detection,svg_detection,10,45,,,,1.0,1.0,1.0,,,,,,
full_schema,claude-haiku-4-5-20251001,svg_detection,svg_detection,10,45,,,,1.0,1.0,1.0,,,,,,
full_schema,gpt-5.4,svg_detection,svg_detection,10,45,,,,1.0,1.0,1.0,,,,,,
full_schema,all_models,svg_detection,svg_detection,30,435,,,,1.0,1.0,1.0,,,,,,
bare_schema,gemini-2.5-flash,svg_detection,svg_detection,10,45,,,,1.0,1.0,1.0,,,,,,
bare_schema,claude-haiku-4-5-20251001,svg_detection,svg_detection,10,45,,,,0.7789,0.5136,0.6462,,,,,,
bare_schema,gpt-5.4,svg_detection,svg_detection,10,45,,,,1.0,1.0,1.0,,,,,,
bare_schema,all_models,svg_detection,svg_detection,30,435,,,,0.6432,0.5517,0.5974,,,,,,
no_schema,gemini-2.5-flash,svg_detection,svg_detection,10,45,,,,1.0,1.0,1.0,,,,,,
no_schema,claude-haiku-4-5-20251001,svg_detection,svg_detection,6,15,,,,1.0,1.0,1.0,,,,,,
no_schema,gpt-5.4,svg_detection,svg_detection,10,45,,,,1.0,1.0,1.0,,,,,,
no_schema,all_models,svg_detection,svg_detection,26,325,,,,1.0,1.0,1.0,,,,,,
full_schema,gemini-2.5-flash,deconvolution,deconvolution,10,45,,,,,,,,,,0.9886,0.9823,0.9857
full_schema,claude-haiku-4-5-20251001,deconvolution,deconvolution,10,45,,,,,,,,,,0.9832,0.9719,0.9778
full_schema,gpt-5.4,deconvolution,deconvolution,10,45,,,,,,,,,,0.9874,0.9774,0.9827
full_schema,all_models,deconvolution,deconvolution,30,435,,,,,,,,,,0.9842,0.9812,0.9828
bare_schema,gemini-2.5-flash,deconvolution,deconvolution,10,45,,,,,,,,,,0.9917,0.9858,0.989
bare_schema,claude-haiku-4-5-20251001,deconvolution,deconvolution,10,45,,,,,,,,,,0.9832,0.9719,0.9778
bare_schema,gpt-5.4,deconvolution,deconvolution,4,6,,,,,,,,,,0.9889,0.9537,0.9721
bare_schema,all_models,deconvolution,deconvolution,24,276,,,,,,,,,,0.9842,0.9799,0.9821
no_schema,gemini-2.5-flash,deconvolution,deconvolution,10,45,,,,,,,,,,0.9917,0.9858,0.989
no_schema,claude-haiku-4-5-20251001,deconvolution,deconvolution,10,45,,,,,,,,,,0.9917,0.9858,0.989
no_schema,gpt-5.4,deconvolution,deconvolution,10,45,,,,,,,,,,0.9917,0.9858,0.989
no_schema,all_models,deconvolution,deconvolution,30,435,,,,,,,,,,0.9907,0.9888,0.9897
