,0
0,1700022I11Rik
1,1810046K07Rik
2,5031425F14Rik
3,5730522E02Rik
4,Acta2
5,Adam2
6,Adamts2
7,Adamts4
8,Adra1b
9,Alk
10,Ankfn1
11,Ano4
12,Aqp4
13,Asic4
14,B4galnt2
15,B4galnt3
16,Barx2
17,Bcl11b
18,Bdnf
19,Bgn
20,Blnk
21,Bmpr1b
22,Brinp3
23,C1ql3
24,C1qtnf7
25,Cacng5
26,Calb1
27,Calb2
28,Camk2d
29,Car3
30,Cbln2
31,Cbln4
32,Ccbe1
33,Ccdc162
34,Ccdc3
35,Ccdc80
36,Ccnb1
37,Cd14
38,Cd24a
39,Cdca7
40,Cdcp1
41,Cdh12
42,Cdh13
43,Cdh20
44,Cdh9
45,Ceacam9
46,Cemip
47,Chat
48,Chn2
49,Chodl
50,Chrm2
51,Chrna2
52,Cldn5
53,Clrn1
54,Cnr1
55,Cntnap5b
56,Cobll1
57,Col14a1
58,Col15a1
59,Col23a1
60,Col24a1
61,Col25a1
62,Corin
63,Cplx3
64,Crhr2
65,Crispld2
66,Cspg4
67,Ctss
68,Cux2
69,Cxcl14
70,Daam2
71,Dmkn
72,Dnase1l3
73,Dscaml1
74,Egfem1
75,Egfr
76,Egln3
77,Egr2
78,Elfn1
79,Enpp6
80,Epha7
81,Fam19a2
82,Fam84b
83,Fbxl7
84,Fezf2
85,Flrt3
86,Flt1
87,Fndc7
88,Fosb
89,Foxp2
90,Frem2
91,Fst
92,Gad1
93,Gad2
94,Gfap
95,Glra1
96,Gpc6
97,Grik1
98,Grin3a
99,Grm1
100,Grm8
101,Hpse
102,Hs3st5
103,Igf2
104,Igfbp4
105,Igfbp5
106,Ikzf2
107,Il1rapl2
108,Il4ra
109,Inpp4b
110,Iqgap2
111,Itgb8
112,Kcng1
113,Kcnj8
114,L3mbtl4
115,Lama3
116,Lamp5
117,Lhx6
118,Lmo1
119,Lsp1
120,Ltf
121,Luzp2
122,Lypd1
123,Lyzl4
124,Marcksl1
125,Meis2
126,Moxd1
127,Mrc1
128,Mrgprx2
129,Muc20
130,Myh14
131,Ndst4
132,Nhs
133,Nkain3
134,Nnmt
135,Nos1
136,Npas1
137,Npnt
138,Npsr1
139,Npy2r
140,Nr2f2
141,Nr4a1
142,Nr4a2
143,Ntng2
144,Nxph1
145,Nxph2
146,Nxph4
147,Olah
148,Olfm3
149,Opalin
150,Oprk1
151,Osr1
152,Otof
153,Parm1
154,Pcdh8
155,Pde11a
156,Pdgfc
157,Pdgfra
158,Pdlim5
159,Penk
160,Phactr2
161,Plch1
162,Plcxd3
163,Pld5
164,Plekhg3
165,Pou3f1
166,Pou3f3
167,Pou6f2
168,Prdm8
169,Prok2
170,Prokr2
171,Prox1
172,Prr16
173,Prss12
174,Prss23
175,Ptger3
176,Ptprk
177,Ptprm
178,Ptprt
179,Ptpru
180,Pvalb
181,Pxdc1
182,Rab3b
183,Ramp1
184,Reln
185,Rerg
186,Rfx3
187,Rgs5
188,Rgs6
189,Rnf152
190,Ror1
191,Rorb
192,Rspo1
193,Rxfp1
194,Rxfp2
195,Satb2
196,Scgn
197,Sema3e
198,Sema5a
199,Serpinf1
200,Sertm1
201,Sgcd
202,Shisa9
203,Slc17a6
204,Slc17a7
205,Slc17a8
206,Slc25a13
207,Slc30a3
208,Slc32a1
209,Slc44a5
210,Slco5a1
211,Sncg
212,Sox10
213,Sox6
214,Sp8
215,Spon1
216,Sst
217,St6galnac5
218,Sulf1
219,Sulf2
220,Syndig1
221,Syt10
222,Syt6
223,Tac2
224,Tbc1d4
225,Tcap
226,Teddm3
227,Tenm3
228,Th
229,Thbs2
230,Thsd7a
231,Timp3
232,Tmem163
233,Tmtc2
234,Tnfaip6
235,Tox
236,Trp53i11
237,Trpc4
238,Trpc6
239,Tshz2
240,Tunar
241,Ubash3b
242,Unc13c
243,Unc5b
244,Unc5d
245,Ust
246,Vip
247,Vipr2
248,Vtn
249,Vwc2
250,Wipf3
251,Wnt7b
252,Zfp804b
