model,prompt_id,n_trials,code_generated,syntax_valid,syntax_error_rate,pkg_hallucination_count,pkg_hallucination_rate,func_hallucination_count,func_hallucination_rate,any_hallucination_count,any_hallucination_rate,fully_correct_rate,unique_pkg_hallucinations,unique_func_hallucinations
gemini-2.5-flash,spatial_domains,10,10,4,0.6,2,0.2,0,0.0,2,0.2,0.4,random; sedis,
gemini-2.5-flash,deconvolution,10,10,4,0.6,5,0.5,0,0.0,5,0.5,0.1,RCTD_src; pyrctd; scrna; spacemk,
gemini-2.5-flash,svg_detection,10,10,10,0.0,0,0.0,0,0.0,0,0.0,1.0,,
gemini-2.5-flash,cell_communication,10,10,0,1.0,2,0.2,0,0.0,2,0.2,0.0,anndata2cellchat; pyCellChat,
gemini-2.5-flash,moran_i,10,10,1,0.9,0,0.0,0,0.0,0,0.0,0.1,,
gemini-2.5-flash,spatial_visualization,10,10,10,0.0,0,0.0,0,0.0,0,0.0,1.0,,
gemini-2.5-flash,trajectory,10,10,1,0.9,0,0.0,0,0.0,0,0.0,0.1,,
gemini-2.5-flash,cnv_inference,10,10,9,0.1,0,0.0,0,0.0,0,0.0,0.9,,
claude-haiku-4-5-20251001,spatial_domains,10,10,9,0.1,0,0.0,0,0.0,0,0.0,0.9,,
claude-haiku-4-5-20251001,deconvolution,10,10,9,0.1,5,0.5,0,0.0,5,0.5,0.5,shutil; subprocess; tempfile,
claude-haiku-4-5-20251001,svg_detection,10,10,10,0.0,0,0.0,0,0.0,0,0.0,1.0,,
claude-haiku-4-5-20251001,cell_communication,10,10,7,0.3,10,1.0,9,0.9,10,1.0,0.0,cellchat; datetime; subprocess,"cellchat is R-only, no Python package"
claude-haiku-4-5-20251001,moran_i,10,10,9,0.1,1,0.1,0,0.0,1,0.1,0.8,splot,
claude-haiku-4-5-20251001,spatial_visualization,10,10,10,0.0,0,0.0,0,0.0,0,0.0,1.0,,
claude-haiku-4-5-20251001,trajectory,10,10,6,0.4,0,0.0,0,0.0,0,0.0,0.6,,
claude-haiku-4-5-20251001,cnv_inference,10,10,7,0.3,10,1.0,0,0.0,10,1.0,0.0,shutil; subprocess; tempfile,
gpt-5-mini,spatial_domains,10,4,4,0.0,0,0.0,0,0.0,0,0.0,1.0,,
gpt-5-mini,deconvolution,10,0,0,1.0,0,0.0,0,0.0,0,0.0,0.0,,
gpt-5-mini,svg_detection,10,6,6,0.0,0,0.0,0,0.0,0,0.0,1.0,,
gpt-5-mini,cell_communication,10,0,0,1.0,0,0.0,0,0.0,0,0.0,0.0,,
gpt-5-mini,moran_i,10,0,0,1.0,0,0.0,0,0.0,0,0.0,0.0,,
gpt-5-mini,spatial_visualization,10,10,10,0.0,0,0.0,0,0.0,0,0.0,1.0,,
gpt-5-mini,trajectory,10,0,0,1.0,0,0.0,0,0.0,0,0.0,0.0,,
gpt-5-mini,cnv_inference,10,0,0,1.0,0,0.0,0,0.0,0,0.0,0.0,,
