model,prompt_id,n_trials,valid_responses,parse_rate,tool_consistency,constrained_param_consistency,free_param_consistency,overall_determinism
gemini-2.5-flash,spatial_domains,10,7,0.7,1.0,1.0,0.0,1.0
gemini-2.5-flash,deconvolution_rctd,10,10,1.0,1.0,1.0,1.0,1.0
gemini-2.5-flash,svg_detection,10,10,1.0,1.0,0.0,0.0,0.5
gemini-2.5-flash,cellchat,10,10,1.0,1.0,1.0,1.0,1.0
gemini-2.5-flash,moran_i,10,5,0.5,1.0,1.0,0.0,1.0
gemini-2.5-flash,spatial_plot,10,10,1.0,1.0,0.5,1.0,0.75
gemini-2.5-flash,trajectory,10,9,0.9,1.0,1.0,0.0,1.0
gemini-2.5-flash,cnv,10,10,1.0,1.0,0.0,1.0,0.5
claude-haiku-4-5-20251001,spatial_domains,10,9,0.9,1.0,1.0,0.0,1.0
claude-haiku-4-5-20251001,deconvolution_rctd,10,10,1.0,1.0,1.0,1.0,1.0
claude-haiku-4-5-20251001,svg_detection,10,10,1.0,1.0,1.0,0.0,1.0
claude-haiku-4-5-20251001,cellchat,10,10,1.0,1.0,1.0,1.0,1.0
claude-haiku-4-5-20251001,moran_i,10,10,1.0,1.0,1.0,1.0,1.0
claude-haiku-4-5-20251001,spatial_plot,10,10,1.0,1.0,1.0,1.0,1.0
claude-haiku-4-5-20251001,trajectory,10,10,1.0,1.0,1.0,0.0,1.0
claude-haiku-4-5-20251001,cnv,10,10,1.0,1.0,1.0,1.0,1.0
gpt-5-mini,spatial_domains,10,7,0.7,1.0,0.667,0.0,0.833
gpt-5-mini,deconvolution_rctd,10,10,1.0,1.0,1.0,1.0,1.0
gpt-5-mini,svg_detection,10,10,1.0,1.0,0.0,0.0,0.5
gpt-5-mini,cellchat,10,10,1.0,1.0,1.0,1.0,1.0
gpt-5-mini,moran_i,10,7,0.7,1.0,1.0,1.0,1.0
gpt-5-mini,spatial_plot,10,10,1.0,1.0,0.0,1.0,0.5
gpt-5-mini,trajectory,10,10,1.0,1.0,1.0,0.0,1.0
gpt-5-mini,cnv,10,10,1.0,1.0,0.0,1.0,0.5
