tool_name,total_params,enum_constrained_params,numeric_constrained_params,default_params,free_text_params,determinism_score
find_spatial_genes,21,9,9,2,1,0.952
preprocess_data,40,11,25,2,2,0.95
compute_embeddings,20,10,8,1,1,0.95
analyze_velocity_data,15,3,10,1,1,0.933
analyze_cell_communication,42,17,21,1,3,0.929
deconvolve_data,62,12,42,2,6,0.903
analyze_cnv,17,5,7,3,2,0.882
compare_conditions,12,1,5,4,2,0.833
identify_spatial_domains,29,8,16,0,5,0.828
integrate_samples,13,4,5,1,3,0.769
analyze_spatial_statistics,17,5,8,0,4,0.765
analyze_trajectory_data,8,1,4,1,2,0.75
analyze_enrichment,16,6,5,1,4,0.75
visualize_data,49,14,15,6,14,0.714
load_data,3,1,0,1,1,0.667
annotate_cell_types,61,17,19,1,24,0.607
find_markers,9,1,3,1,4,0.556
export_data,2,0,0,1,1,0.5
reload_data,2,0,0,1,1,0.5
register_spatial_data,3,1,0,0,2,0.333
