tool_name,total_params,enum_constrained_params,numeric_constrained_params,default_params,free_text_params,determinism_score
preprocess_data,38,10,25,2,1,0.974
compute_embeddings,20,10,8,1,1,0.95
find_spatial_genes,19,8,9,1,1,0.947
analyze_velocity_data,15,3,10,1,1,0.933
analyze_cell_communication,42,17,21,1,3,0.929
deconvolve_data,60,11,42,2,5,0.917
analyze_cnv,16,5,7,2,2,0.875
compare_conditions,12,1,5,4,2,0.833
identify_spatial_domains,29,8,16,0,5,0.828
analyze_spatial_statistics,19,5,10,0,4,0.789
integrate_samples,13,4,5,1,3,0.769
analyze_trajectory_data,8,1,4,1,2,0.75
analyze_enrichment,16,6,5,1,4,0.75
visualize_data,50,14,15,6,15,0.7
load_data,3,1,0,1,1,0.667
annotate_cell_types,61,19,19,1,22,0.639
find_markers,9,1,3,1,4,0.556
export_data,2,0,0,1,1,0.5
reload_data,2,0,0,1,1,0.5
register_spatial_data,3,1,0,0,2,0.333
