group_id,paraphrase_idx,model,n_trials,parse_rate,tool_correct_rate,pydantic_valid_rate,constrained_param_consistency
cell_communication,0,claude-haiku-4-5-20251001,5,1.0,1.0,1.0,1.0
cell_communication,0,gemini-2.5-flash,5,1.0,1.0,1.0,1.0
cell_communication,0,gpt-5.4,5,1.0,1.0,1.0,1.0
cell_communication,1,claude-haiku-4-5-20251001,5,1.0,1.0,1.0,1.0
cell_communication,1,gemini-2.5-flash,5,1.0,1.0,1.0,1.0
cell_communication,1,gpt-5.4,5,1.0,1.0,1.0,1.0
cell_communication,2,claude-haiku-4-5-20251001,5,1.0,1.0,1.0,1.0
cell_communication,2,gemini-2.5-flash,5,1.0,1.0,1.0,1.0
cell_communication,2,gpt-5.4,5,1.0,1.0,1.0,1.0
cell_communication,3,claude-haiku-4-5-20251001,5,1.0,1.0,1.0,1.0
cell_communication,3,gemini-2.5-flash,5,1.0,1.0,1.0,1.0
cell_communication,3,gpt-5.4,5,1.0,1.0,1.0,1.0
cell_communication,4,claude-haiku-4-5-20251001,5,1.0,1.0,1.0,1.0
cell_communication,4,gemini-2.5-flash,5,1.0,1.0,1.0,1.0
cell_communication,4,gpt-5.4,5,1.0,1.0,1.0,1.0
deconvolution,0,claude-haiku-4-5-20251001,5,1.0,1.0,1.0,1.0
deconvolution,0,gemini-2.5-flash,5,1.0,1.0,1.0,1.0
deconvolution,0,gpt-5.4,5,1.0,1.0,1.0,1.0
deconvolution,1,claude-haiku-4-5-20251001,5,1.0,1.0,1.0,1.0
deconvolution,1,gemini-2.5-flash,5,1.0,1.0,1.0,1.0
deconvolution,1,gpt-5.4,5,1.0,1.0,1.0,1.0
deconvolution,2,claude-haiku-4-5-20251001,5,1.0,1.0,1.0,1.0
deconvolution,2,gemini-2.5-flash,5,1.0,1.0,1.0,1.0
deconvolution,2,gpt-5.4,5,1.0,1.0,1.0,1.0
deconvolution,3,claude-haiku-4-5-20251001,5,1.0,1.0,1.0,1.0
deconvolution,3,gemini-2.5-flash,5,1.0,1.0,1.0,1.0
deconvolution,3,gpt-5.4,5,1.0,1.0,1.0,1.0
deconvolution,4,claude-haiku-4-5-20251001,5,1.0,1.0,1.0,1.0
deconvolution,4,gemini-2.5-flash,5,1.0,1.0,1.0,1.0
deconvolution,4,gpt-5.4,5,1.0,1.0,1.0,1.0
moran_i,0,claude-haiku-4-5-20251001,5,1.0,1.0,1.0,1.0
moran_i,0,gemini-2.5-flash,5,0.6,0.6,0.6,1.0
moran_i,0,gpt-5.4,5,1.0,1.0,1.0,1.0
moran_i,1,claude-haiku-4-5-20251001,5,1.0,1.0,1.0,1.0
moran_i,1,gemini-2.5-flash,5,0.4,0.4,0.4,1.0
moran_i,1,gpt-5.4,5,1.0,1.0,1.0,1.0
