Analytical Category,Method Name,Version,Primary Citation
Data Loading & Preprocessing,Scanpy,1.9.3,"Wolf et al., 2018"
Data Loading & Preprocessing,SpatialData,0.2.0,"Marconato et al., 2024"
Data Loading & Preprocessing,SCTransform,0.4.0,"Hafemeister & Satija, 2019"
Multi-sample Integration,Harmony,0.0.9+,"Korsunsky et al., 2019"
Multi-sample Integration,scVI,1.0.0+,"Lopez et al., 2018"
Multi-sample Integration,BBKNN,1.5.0+,"Polanski et al., 2020"
Multi-sample Integration,Scanorama,1.7.0+ (optional),"Hie et al., 2019"
Spatial Registration,PASTE,1.3.0,"Zeira et al., 2022"
Spatial Registration,STalign,2.0.0,"Clifton et al., 2023"
Visualization,Squidpy,1.3.0,"Palla et al., 2022"
Visualization,Matplotlib / Seaborn,3.7.1 / 0.12.2,"Hunter, 2007"
Cell Type Annotation,Tangram,1.0.3,"Biancalani et al., 2021"
Cell Type Annotation,scANVI,1.0.3,"Xu et al., 2021"
Cell Type Annotation,CellAssign,0.1.0,"Zhang et al., 2019"
Cell Type Annotation,mLLMCellType,1.0.0,"Yang et al., 2025*"
Cell Type Annotation,scType,via R,"Ianevski et al., 2022"
Cell Type Annotation,SingleR,via R,"Aran et al., 2019"
Differential Expression,Wilcoxon,via scanpy,"Wolf et al., 2018"
Differential Expression,t-test,via scanpy,"Wolf et al., 2018"
Differential Expression,logreg,via scanpy,"Wolf et al., 2018"
Spatial Domain Identification,SpaGCN,1.2.5,"Hu et al., 2021"
Spatial Domain Identification,STAGATE,1.1.0,"Dong et al., 2022"
Spatial Domain Identification,GraphST,1.1.0+,"Long et al., 2023"
Spatial Domain Identification,Leiden,via scanpy,"Traag et al., 2019"
Spatial Domain Identification,Louvain,via scanpy,"Blondel et al., 2008"
Spatially Variable Genes,SPARK-X,1.3.0,"Sun et al., 2020"
Spatially Variable Genes,FlashS,0.1.0,"Yang et al., 2026*"
Spatially Variable Genes,SpatialDE,1.1.3,"Svensson et al., 2018"
Cell-Cell Communication,LIANA+,1.0.0,"Dimitrov et al., 2022"
Cell-Cell Communication,CellPhoneDB,via LIANA,"Efremova et al., 2020"
Cell-Cell Communication,CellChat,native R,"Jin et al., 2021"
Cell-Cell Communication,FastCCC,0.1.0,"Hou et al., 2025*"
Deconvolution,FlashDeconv,0.1.0,"Yang et al., 2025*"
Deconvolution,RCTD,2.2.0,"Cable et al., 2022"
Deconvolution,Cell2location,0.1.3,"Kleshchevnikov et al., 2022"
Deconvolution,SPOTlight,0.1.7,"Elosua-Bayes et al., 2021"
Deconvolution,Stereoscope,0.3.0,"Andersson et al., 2020"
Deconvolution,DestVI,0.1.0,"Lopez et al., 2022"
Deconvolution,Tangram (mapping),1.0.3,"Biancalani et al., 2021"
Deconvolution,CARD,2.0.0,"Ma & Zhou, 2022"
CNV Analysis,infercnvpy,0.6.1,"Weiler et al., 2025; Patel et al., 2014"
CNV Analysis,Numbat,1.3.2,"Gao et al., 2023"
Trajectory Inference,CellRank,2.0.0,"Lange et al., 2022"
Trajectory Inference,Palantir,1.3.0,"Setty et al., 2019"
Trajectory Inference,DPT,via scanpy,"Haghverdi et al., 2016"
RNA Velocity,scVelo,0.2.5,"Bergen et al., 2020"
RNA Velocity,VeloVI,1.0.0,"Gayoso et al., 2023"
Enrichment Analysis,GSEApy,1.0.6,"Subramanian et al., 2005"
Enrichment Analysis,Pathway GSEA,via GSEApy,"Subramanian et al., 2005"
Enrichment Analysis,Pathway ORA,via GSEApy,"Subramanian et al., 2005"
Enrichment Analysis,ssGSEA,via GSEApy,"Barbie et al., 2009"
Enrichment Analysis,EnrichMap,0.1.10,"Merico et al., 2010"
Spatial Statistics,Moran's I,via squidpy,"Palla et al., 2022"
Spatial Statistics,Local Moran's I (LISA),via squidpy,"Palla et al., 2022"
Spatial Statistics,Geary's C,via squidpy,"Palla et al., 2022"
Spatial Statistics,Getis-Ord Gi*,via esda/PySAL,"Palla et al., 2022"
Spatial Statistics,Neighborhood Enrichment,via squidpy,"Palla et al., 2022"
Spatial Statistics,Co-occurrence,via squidpy,"Palla et al., 2022"
Spatial Statistics,Ripley's K/L,via squidpy,"Palla et al., 2022"
Spatial Statistics,Centrality Scores,via squidpy,"Palla et al., 2022"
Spatial Statistics,Bivariate Moran's I,4.6.0,"Palla et al., 2022"
Spatial Statistics,Join Count Statistics,via esda/PySAL,"Palla et al., 2022"
Spatial Statistics,Local Join Count,via esda/PySAL,"Palla et al., 2022"
Spatial Statistics,Network Properties,via squidpy,"Palla et al., 2022"
Spatial Statistics,Spatial Centrality,2.6.0,"Palla et al., 2022"
